scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9479,img012.png,269.7916052771817,511.08107262788775,,,404.5911953302816,572.153854616888,377.6939763297661,644.4401306807736
labeled-data,IMG_9479,img028.png,286.31910636204026,524.9686545895548,,,404.3199589702441,593.6227149899427,378.41508337627863,658.9030014867358
labeled-data,IMG_9479,img060.png,322.1806869726763,460.6399121990672,357.76435499207975,489.61026676156916,461.02499484904627,551.9479617786874,460.174856649714,618.5437660408664
labeled-data,IMG_9479,img084.png,321.6343223720022,445.23902584693906,364.5893312441138,474.55752396599934,476.40871941913457,546.1492054195189,468.2268129673038,606.1498527329446
labeled-data,IMG_9479,img092.png,333.90718204974837,450.6936301481596,381.63496968542796,477.9666516542622,487.31792802157565,529.1035669782048,468.2268129673038,601.3770739693766
labeled-data,IMG_9479,img124.png,365.95298231941894,464.3301409012109,402.7715613526575,490.92133686966093,509.81817076411033,546.8310309571714,503.68174092523714,617.7408868730382
labeled-data,IMG_9479,img177.png,310.7251137695612,467.05744305182105,346.1800417274946,499.7850688591442,451.8630000636423,544.103728806561,431.40823393406527,615.0135847224278
labeled-data,IMG_9479,img195.png,262.9973261338816,462.96648982590574,303.90685839303546,499.10324332149173,391.8623527502165,546.8310309571713,380.27131861012276,609.5589804212074
labeled-data,IMG_9479,img255.png,217.99684064881222,456.14823444938,269.1337559727546,486.14855810609293,377.5440164595126,527.0580903652469,342.7709140392317,604.1043761199868
labeled-data,IMG_9479,img327.png,232.3151769395161,452.7391067611172,276.63383688693284,488.8758602567032,356.40742479228305,548.876507570129,332.54353097444323,606.8316782705971
labeled-data,IMG_9479,img407.png,220.0423172617699,450.011804610507,,,346.8618672651471,532.5126946664674,328.4525777485278,608.8771548835547
labeled-data,IMG_9479,img449.png,226.17874710064302,445.239025846939,,,350.9528204910625,539.3309500429931,320.95249683434963,601.3770739693765
labeled-data,IMG_9479,img485.png,230.95152586421096,439.1025960080659,282.7702667258059,469.78474520243134,335.2708331250535,525.0126137522892,311.4069393072137,585.013261065715
labeled-data,IMG_9479,img506.png,286.1793944140688,428.1933874056249,301.8613817800778,471.14839627773654,307.9978116189509,533.1945202041201,275.2701858116277,574.1040524632739
labeled-data,IMG_9479,img564.png,320.95249683434963,417.96600434083643,340.04361188862146,458.87553659999037,350.9528204910625,518.8761839134162,282.7702667258059,591.149690904588
labeled-data,IMG_9479,img616.png,382.9986207607331,421.3751320290993,399.3624336643947,464.3301409012109,406.18068904092036,535.2399968170777,329.1344032861804,593.1951675175458
labeled-data,IMG_9479,img682.png,375.4985398465549,420.6933064914467,389.1350505996062,460.9210132129481,386.40774844899596,535.2399968170777,310.04328823190855,592.5133419798932
labeled-data,IMG_9479,img754.png,427.3172807081499,417.2841788031839,412.998944417446,467.0574430518212,337.99813527566374,524.3307882146366,238.4516067783892,557.0584140219597
labeled-data,IMG_9479,img803.png,427.3172807081499,415.23870219022626,414.3625954927511,469.1029196647789,344.81639065218934,532.5126946664674,261.6336750585764,542.0582521936033
labeled-data,IMG_9479,img866.png,425.27180409519207,411.1477489643107,,,363.2256801688087,514.7852306875006,243.2243855419572,543.4219032689084
