scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9481,img004.png,410.1169577156039,468.09621681545315,394.07759340205996,511.2365760036057,328.2608915637246,583.6902561785798,239.2787010230462,607.7036858582418
labeled-data,IMG_9481,img063.png,425.4170728021966,467.92945063946587,404.96230667261966,512.9299361245352,345.6434848968464,581.7943154274443,240.64235209835135,604.2945581699789
labeled-data,IMG_9481,img094.png,417.9169918880184,466.5657995641607,392.6894469948735,510.2026339739249,330.64332306848996,581.7943154274443,212.0056795169436,613.8401156971149
labeled-data,IMG_9481,img110.png,,,,,342.2343572085836,594.0671751051905,232.46044564652055,624.0674987619034
labeled-data,IMG_9481,img142.png,,,,,,,222.23306258173207,624.0674987619034
labeled-data,IMG_9481,img160.png,420.64429403862863,477.4750081666018,,,,,222.9148881193846,624.749324299556
labeled-data,IMG_9481,img172.png,415.1896897374081,473.3840549406864,,,319.73411446604894,597.4763027934532,218.82393489346927,620.6583710736406
labeled-data,IMG_9481,img211.png,403.5986555973145,468.6112761771183,,,312.91585908952334,589.2943963416225,212.0056795169436,611.1128135465046
labeled-data,IMG_9481,img236.png,393.37127253252606,466.56579956416067,,,310.8703824765656,587.2489197286648,203.14194752746025,615.2037667724201
labeled-data,IMG_9481,img295.png,,,,,336.09792736971053,592.0216984922328,210.64202844163847,622.0220221489458
labeled-data,IMG_9481,img318.png,404.2804811349671,478.83865924190684,,,321.77959107900665,587.9307452663173,213.36933059224873,619.2947199983355
labeled-data,IMG_9481,img478.png,419.28064296332354,474.06588047833884,,,318.37046339074385,592.0216984922328,216.09663274285901,619.2947199983355
labeled-data,IMG_9481,img520.png,421.32611957628126,479.5204847795594,402.91683005966195,517.0208893504505,330.64332306849,589.9762218792749,218.82393489346924,619.2947199983355
labeled-data,IMG_9481,img575.png,424.05342172689154,465.8839740265081,403.5986555973145,519.7481915010608,343.59800828388876,578.3851877391813,227.6876668829526,612.4764646218098
labeled-data,IMG_9481,img590.png,426.09889833984926,469.2931017147709,401.5531789843568,516.3390638127979,333.37062521910025,586.5670941910122,234.50592225947827,613.1582901594624
labeled-data,IMG_9481,img666.png,427.4625494151543,479.5204847795594,403.5986555973145,519.7481915010608,340.87070613327853,585.203443115707,241.32417763600392,609.7491624711995
labeled-data,IMG_9481,img801.png,423.37159618923897,482.9296124678222,400.87135344670423,529.2937490281967,340.87070613327853,600.2036049440635,237.23322441008855,628.1584519878188
labeled-data,IMG_9481,img859.png,433.5989792540274,480.88413585486455,,,340.18888059562596,592.7035240298852,238.59687548539367,624.0674987619034
labeled-data,IMG_9481,img879.png,437.68993247994285,480.202310317212,,,347.00713597215156,596.1126517181482,231.09679457121544,627.4766264501662
labeled-data,IMG_9481,img921.png,445.190013394121,482.9296124678222,,,352.46174027337213,600.8854304817161,244.05147978661415,635.658532901997
