scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9489,img026.png,425.75700553773294,562.2743817398217,416.90770108888114,587.1630505022174,368.2365266201962,630.30340969037,316.2468629831918,641.918121779488
labeled-data,IMG_9489,img108.png,390.3597877423257,426.7694073667784,396.9967660789646,456.63580988165324,408.0583966400293,503.6477397661785,369.8957712043559,545.1288543701713
labeled-data,IMG_9489,img139.png,353.85640689081197,448.89266848890793,380.9574017654206,476.5467448915698,404.7399074717099,519.6871040797224,383.1697278776336,566.1459524361944
labeled-data,IMG_9489,img173.png,334.4985534089487,498.6700060136993,,,398.6560106631243,556.1904849312361,398.4216740940647,624.0772189044723
labeled-data,IMG_9489,img558.png,,,,,396.09412184301607,574.4650446279691,416.9148403966768,608.5767411705457
labeled-data,IMG_9489,img583.png,321.7347437923364,548.3515420633569,,,404.1633334324549,567.037856712396,424.1896106408253,598.5651233048559
labeled-data,IMG_9489,img595.png,305.62023948483477,517.7256033186273,342.4388185180733,525.9075097704582,416.0759765845503,540.9076715988148,459.7128109943145,588.6354592344943
labeled-data,IMG_9489,img654.png,267.4380093762911,505.4527436408812,,,414.7123255092452,538.8621949858571,462.4401131449248,589.3172847721469
labeled-data,IMG_9489,img670.png,276.30174136577443,509.5436968667966,,,418.8032787351606,546.3622759000352,455.62185776839914,588.6354592344943
labeled-data,IMG_9489,img702.png,291.3019031941309,530.6802885340261,,,436.5307427141273,564.089739879002,444.0472179030381,614.0432082842465
labeled-data,IMG_9489,img724.png,296.77736790840476,534.2249367778334,,,405.7705551849052,570.0988278725766,436.4718400629473,615.3182920805266
labeled-data,IMG_9489,img858.png,,,,,348.31193381637684,519.3916449829059,354.8531523092338,570.2145515971092
