scorer,,,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rohan Pandit
bodyparts,,,Snout,Snout,Spiracle,Spiracle,Pectoral Fin,Pectoral Fin,Tail,Tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,IMG_9477,img017.png,422.6215172376477,583.2552266046897,346.1325507049317,526.098636228594,219.21129854624905,524.417560041062,234.34098423403904,403.380074538742
labeled-data,IMG_9477,img033.png,420.9404410501155,579.8930742296251,336.8866316735045,519.3743314784651,209.12484142105572,528.6202505098925,230.97883185897462,409.26384119510476
labeled-data,IMG_9477,img069.png,413.3755982062205,579.052536135859,331.84340311090784,516.0121791034007,205.7626890459913,516.0121791034009,220.89237473378125,403.380074538742
labeled-data,IMG_9477,img114.png,407.4918315498578,579.052536135859,332.68394120467394,518.533793384699,204.08161285845907,519.3743314784653,217.53022235871683,405.9016888200403
labeled-data,IMG_9477,img153.png,404.9702172685594,589.1389932610523,326.80017454831113,528.6202505098923,207.4437652335235,517.693255290933,216.6896842649507,414.3070697577014
labeled-data,IMG_9477,img282.png,412.5350601124544,571.487693291964,331.84340311090784,516.8527171971668,215.8491461711846,500.8824934156108,219.21129854624905,405.9016888200403
labeled-data,IMG_9477,img402.png,414.2161362999866,572.3282313857301,336.8866316735045,511.80948863457013,209.12484142105572,504.24464579067524,225.0950652026118,404.2206126325081
labeled-data,IMG_9477,img449.png,437.7512029254377,535.3445552600213,355.37846973635897,476.5068886963935,238.5436747028696,468.10150775873245,245.26797945299847,364.7153222255009
labeled-data,IMG_9477,img459.png,440.272817206736,548.793164760279,358.74062211142336,487.43388391535296,242.74636517170012,473.14473632132916,251.15174610936126,378.1639317257587
labeled-data,IMG_9477,img493.png,451.19981242569554,559.7201599792385,372.1892316116811,505.0851838844413,249.47066992182903,498.3608791343125,262.9192794220868,396.6557697886131
labeled-data,IMG_9477,img503.png,452.04035051946164,555.5174695104079,372.1892316116811,503.404107696909,252.83282229689345,480.70957916522417,257.87605085949014,384.04769838212144
labeled-data,IMG_9477,img539.png,,,,,,,266.28143179715124,387.4098507571859
labeled-data,IMG_9477,img542.png,,,,,,,266.28143179715124,388.250388850952
labeled-data,IMG_9477,img571.png,,,376.3919220805117,505.0851838844413,262.9192794220868,485.75280772782077,275.52735082857845,400.01792216367755
labeled-data,IMG_9477,img650.png,458.76465526959055,561.4012361667707,380.5946125493423,501.7230315093768,251.15174610936126,494.99872675924803,266.28143179715124,383.20716028835534
labeled-data,IMG_9477,img746.png,455.40250289452604,566.4444647293673,380.5946125493423,505.0851838844413,254.51389848442568,483.23119344652247,269.6435841722157,384.04769838212144
labeled-data,IMG_9477,img753.png,457.08357908205824,565.6039266356015,375.5513839867455,504.24464579067546,258.7165889532562,491.63657438418375,272.165198453514,391.6125412260166
labeled-data,IMG_9477,img811.png,458.76465526959043,563.082312354303,376.3919220805117,503.4041076969092,259.5571270470223,483.2311934465225,276.3678889223445,392.45307931978266
labeled-data,IMG_9477,img898.png,475.57541714491265,571.4876932919642,397.4053744246644,506.76626007197365,284.7732698600056,488.27442200911923,289.8164984226023,394.13415550731486
labeled-data,IMG_9477,img906.png,485.66187427010595,567.2850028231336,411.6945220186883,502.56356960314326,301.5840317353278,479.0285029776921,307.4677983916906,394.13415550731503
